,Unnamed: 0,상품명,가격,상품번호,상품상태,브랜드,원산지,세부제품특징,사용부위,사용시간,제품형태,용량,용기형태,피부타입,주요제품특징,모델명,제조사,혜택조건,세트수량,반품안심케어 가입 안내,이벤트,제조일자,유효일자,기타,사은품,PA지수,자외선차단지수,성분,종류,세트구성,매수,구분,url
1867,0,[스킨푸드] 토마토 톤 업 선크림 40ml,"10,000",5049364395,신상품,스킨푸드,대한민국,"피부톤보정, 저자극",,,,,,모든피부용,"촉촉함(수분공급), 부드러운 발림",70609,코스맥스㈜,,,,,,,,,PA+++,SPF50+,,,,,,https://shopping.naver.com/beauty/stores/1000009464/products/5049364395
1868,0,토리든 다이브인 저분자 히알루론산 크림 80ml,"21,000",4643496993,신상품,토리든,국산,"피부탄력, 피부진정",,,,,,,"촉촉함(수분공급), 저자극, 부드러운 발림",다이브인 저분자 히알루론산 크림 80ml,세레코,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/100137085/products/4643496993
1869,0,[셀포메드] 스피큘 엑스폴리앙뜨 따꼼크림 50ml,"79,000",6664419793,신상품,셀포메드,국산,"트러블케어, 피부탄력, 화이트닝, 모공케어, 주름케어","페이스용, 스팟","밤, 낮",크림형,50ml(g),펌프형,모든피부용,"촉촉함(수분공급), 저자극, 부드러운 발림",스피큘 엑스폴리앙뜨 크림 50ml,현웅코스코코,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/101547560/products/6664419793
1870,0,"[NEW] 코스알엑스 원스텝 그린 히어로 카밍 패드 70매_토너패드, 진정패드","17,500",3555764329,신상품,코스알엑스,국산,"각질케어, 피부진정, 피부결정돈","페이스용, 바디용","낮, 밤",시트형,,,"모든피부용, 민감성","촉촉함(수분공급), 저자극",원스텝 그린 히어로 카밍 패드 70매,,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/1000009871/products/3555764329
1871,0,[BQCELL] 비큐셀 새살필 알라딘필링 피부박피 약초필링 3회분,"174,000",3695324121,신상품,비큐셀,국산,"트러블케어, 피지케어","페이스용, 팔자주름",,로션형,2ml(g),,모든피부용,"촉촉함(수분공급), 저자극, 각질케어",비큐셀 새살필,상품별도표기,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/100254044/products/3695324121
1872,0,셀퓨전씨 트리악 PH 컨디션 토너 200ml,"24,000",4712654926,신상품,셀퓨전씨,대한민국,"상쾌함, 피지케어, 각질케어",페이스용,"낮, 밤",액상형,200ml(g),,"모든피부용, 지복합, 지성","촉촉함(수분공급), 트러블케어, 저자극",[셀퓨전씨] 트리악 pH 컨디션 토너 200ml,㈜신세계인터코스코리아,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/100507422/products/4712654926
1873,0,[스킨푸드][꿀광보습] 로열허니 프로폴리스 인리치 마스크 30ml,"3,000",7709429460,신상품,스킨푸드,대한민국,"밀착력, 쿨링감",,,,30ml(g),,,"촉촉함(수분공급), 피부진정, 트러블케어",72816,(주)아이피어리스,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/1000009464/products/7709429460
1874,0,파넬 애플 비니거 포어 패드 60매,"31,000",6473648276,신상품,파넬,국산,"트러블케어, 피지케어, 블랙헤드케어, 화이트헤드케어",,,시트형,,,모든피부용,"촉촉함(수분공급), 각질케어",,,,,,추석 연휴 배송 안내 - 공지사항에서 배송관련 일정 확인해주세요!,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/101490644/products/6473648276
1875,0,바버 바이탈라이징 앰플 듀오 (비타민 앰플 2mlx7병+수분 앰플 2mlx7병)+베스트 앰플 2mlx3병+바이탈라이징 크림15ml 증정,"110,000",6655149847,신상품,BABOR,독일산((주)이넬화장품),"저자극, 피부강화, 각질케어, 영양공급, 유수분밸런스조절",페이스용,"낮, 밤",액상형,14ml(g),원터치형,모든피부용,"촉촉함(수분공급), 흡수력",바버 앰플 컨센트레이트 멀티 비타민,Dr.BABOR GmbH&Co.KG,네이버단독,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/1000019604/products/6655149847
1876,0,맥 클렌즈 오프 오일 150ml,"48,000",5069620817,신상품,맥,일본산(엘씨에이한국(유)),"모공케어, 각질케어",페이스용,,오일형,150ml(g),,"모든피부용, 복합","저자극, 세정력",클렌즈 오프 오일 150ml,,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/100863724/products/5069620817
